x,y,z,qx,qy,qz,qw,speed
89630.1,43130.7,0,0,0,0.890874,0.454251,4.16667
89628.3,43133.1,0,0,0,0.887679,0.460463,4.16667
89626.6,43135.5,0,0,0,0.886576,0.462583,4.16667
89624.9,43138,0,0,0,0.886618,0.462503,4.16667
89623.2,43140.4,0,0,0,0.886023,0.463642,4.16667
89621.5,43142.9,0,0,0,0.88584,0.46399,4.16667
89619.8,43145.3,0,0,0,0.884065,0.467363,4.16667
89618.1,43147.8,0,0,0,0.881734,0.471747,4.16667
89616.4,43150.3,0,0,0,0.874733,0.484605,4.16667
89614.9,43152.8,0,0,0,0.852035,0.523484,4.16667
89613.5,43155.5,0,0,0,0.798825,0.601564,4.16667
89612.7,43158.3,0,0,0,0.702854,0.711334,4.16667
89612.7,43161.3,0,0,0,0.568884,0.822418,4.16667
89613.8,43164.1,0,0,0,0.332024,0.943271,4.16667
89616,43165.9,0,0,0,0.0957612,0.995404,4.16667
89619,43166.5,0,0,0,-0.171466,0.98519,4.16667
89621.7,43165.5,0,0,0,-0.372298,0.928113,4.16667
89623.9,43163.4,0,0,0,-0.433472,0.901167,4.16667
89625.7,43161.1,0,0,0,-0.50772,0.861522,4.16667
89627.2,43158.5,0,0,0,-0.535709,0.844403,4.16667
89628.5,43155.8,0,0,0,-0.557544,0.830147,4.16667
89629.6,43153,0,0,0,-0.569087,0.822278,4.16667
89630.6,43150.2,0,0,0,-0.477121,0.878837,4.16667
89632.3,43147.8,0,0,0,-0.5511,0.834439,4.16667
89633.2,43145.5,0,0,0,-0.518683,0.854967,4.16667
89634.5,43143.1,0,0,0,-0.49334,0.869836,4.16667
89636.1,43140.3,0,0,0,-0.352614,0.935769,4.16667
89638.4,43138.3,0,0,0,-0.23237,0.972628,4.16667
89640.7,43137.2,0,0,0,-0.0544057,0.998519,4.16667
89642.8,43136.9,0,0,0,0.160678,0.987007,4.16667
89641.7,43130.2,-2.58896e-06,0,0,-0.993905,0.110243,4.16667
89576.6,43115.6,2.59356e-06,0,0,0.409548,0.912288,4.16667
89662,43211.5,-9.72879e-06,0,0,-0.833135,0.55307,4.16667
89630.3,43136.4,1.69084e-07,0,0,0.303286,0.952899,4.16667
89639.9,43145.2,5.42937e-07,0,0,0.607374,0.794416,2.77778
89645.7,43166.4,-7.50804e-07,0,0,-0.769662,0.638451,2.77778
89624.6,43153.3,-1.01951e-05,0,0,0.0525179,0.99862,4.16667
89659,43138.6,5.00565e-07,0,0,0.930074,0.367372,4.16667
89635.1,43126.9,-1.65802e-06,0,0,0.678757,0.734363,4.16667
89637.6,43159.2,0,0,0,0.904818,0.425798,4.16667
89635.7,43161.5,0,0,0,0.909045,0.416698,4.16667
89633.8,43163.8,0,0,0,0.911257,0.411839,4.16667
89631.8,43166,0,0,0,0.906128,0.423003,4.16667
89629.9,43168.3,0,0,0,0.896159,0.443734,4.16667
89628.1,43170.7,0,0,0,0.910751,0.412956,4.16667
89626.2,43172.9,0,0,0,0.926643,0.375943,4.16667
89623.9,43175,0,0,0,0.941253,0.337701,4.16667
89621.6,43176.9,0,0,0,0.845594,0.533826,4.16667
89620.2,43179.9,0,0,0,0.678018,0.735046,4.16667
89620.5,43182.8,0,0,0,0.563098,0.82639,4.16667
89621.5,43185.5,0,0,0,0.328683,0.94444,4.16667
