x,y,z,qx,qy,qz,qw,speed
89669.8,43133.2,0,0,0,-0.864178,0.503187,1.5
89668.2,43130.5,0,0,0,-0.856705,0.515806,1.5
89666.9,43127.9,0,0,0,-0.876086,0.482156,1.5
89665.4,43125.6,0,0,0,-0.868327,0.495991,1.5
89663.7,43122.7,0,0,0,-0.965771,0.259397,1.5
89660.8,43121,0,0,0,-0.958761,0.284215,1.5
89657.8,43119,0,0,0,-0.970512,0.241052,1.5
89654,43117,0,0,0,0.995388,0.0959339,1.5
89650.6,43117.6,0,0,0,0.98688,0.161457,2
89647,43118.8,0,0,0,0.982839,0.184466,9.72222
89644.5,43119.9,0,0,0,0.982839,0.184466,9.72222
89642.1,43120.8,0,0,0,0.980115,0.198432,9.72222
89638.7,43122.2,0,0,0,0.9622,0.272343,9.72222
89636.7,43123.4,0,0,0,0.965606,0.260011,9.72222
89634.4,43124.8,0,0,0,0.922506,0.385984,9.72222
89632.7,43126.5,0,0,0,0.880755,0.473572,9.72222
89630.1,43130.7,0,0,0,0.894427,0.447214,9.72222
89628.3,43133.1,0,0,0,0.887679,0.460463,9.72222
89626.6,43135.5,0,0,0,0.886576,0.462583,9.72222
89624.9,43138,-8.27026e-06,0,0,0.888434,0.459004,9.72222
89623.2,43140.4,-1.0495e-05,0,0,0.88383,0.467809,9.72222
89621.5,43142.9,0,0,0,0.888101,0.459649,9.72222
89619.8,43145.3,0,0,0,0.884065,0.467363,9.72222
89618.1,43147.8,0,0,0,0.88383,0.467809,9.72222
89616.4,43150.3,0,0,0,0.870318,0.492491,9.72222
89614.9,43152.8,0,0,0,0.861254,0.508175,9.44444
89613.3,43155.7,0,0,0,0.785516,0.618841,8.33333
89612.7,43158.2,-3.02216e-05,0,0,0.595794,0.803137,8.33333
89612.8,43160.7,-2.92239e-05,0,0,0.489031,0.872267,8.33333
89614.5,43163.5,-2.42343e-05,0,0,0.221723,0.97511,8.33333
89616.3,43165,-2.42343e-05,0,0,-0.107558,0.994199,8.33333
89619.3,43164.4,-2.89204e-05,0,0,-0.47108,0.882091,8.33333
89621.4,43162.2,-3.03018e-05,0,0,-0.552458,0.833541,8.33333
89622.8,43160.1,-4.91948e-05,0,0,-0.482327,0.875991,9.72222
89623.9,43158.3,-2.27604e-05,0,0,-0.0206363,0.999787,9.72222
89625.2,43156.4,0,0,0,-0.175068,0.984556,9.72222
89626.6,43153.8,0,0,0,-0.173189,0.984889,9.72222
89628,43151.4,-2.35361e-05,0,0,-0.487018,0.873392,9.72222
89629.4,43149.1,-2.54281e-05,0,0,-0.477085,0.878857,9.72222
89630.8,43146.9,-2.59371e-05,0,0,-0.506924,0.861991,9.72222
89632.3,43144.3,0,0,0,-0.496559,0.868003,9.72222
89633.8,43141.7,0,0,0,-0.347064,0.937842,9.72222
89635.2,43139.8,-3.05175e-05,0,0,-0.285183,0.958473,8.33333
89637.3,43137.7,0,0,0,-0.0272694,0.999628,8.33333
89639.9,43136.9,0,0,0,0.0678064,0.997698,8.33333
89642.1,43137.2,0,0,0,0.188072,0.982155,8.33333
89644.9,43138.6,-6.09374e-05,0,0,0.467161,0.884172,8.33333
89646.5,43140.9,0,0,0,0.703177,0.711015,8.33333
89646.5,43143.3,0,0,0,0.802293,0.596931,8.33333
89645.9,43145.3,-3.47293e-05,0,0,0.819379,0.573252,9.72222
89645.1,43147.5,-5.99173e-05,0,0,0.882985,0.469402,9.72222
89643.6,43150.2,-6.02006e-05,0,0,0.899097,0.437749,9.72222
89641.9,43152.3,-6.03235e-05,0,0,0.896427,0.443192,9.72222
89640.3,43154.5,-2.98301e-05,0,0,0.890861,0.454276,9.72222
89638.9,43156.5,0,0,0,0.86498,0.501807,9.72222
89637,43159,0,0,0,0.87188,0.48972,9.72222
89635.3,43161.3,0,0,0,0.88589,0.463895,9.72222
89633.6,43163.7,0,0,0,0.899323,0.437285,9.72222
89631.6,43166,0,0,0,0.892729,0.450593,9.72222
89629.9,43168.3,0,0,0,0.896159,0.443734,9.72222
89628.1,43170.7,0,0,0,0.909291,0.416161,9.72222
89626.2,43172.9,0,0,0,0.936175,0.351533,9.72222
89623.8,43175,-0.000106839,0,0,0.935933,0.352177,8.33333
89621.3,43177.2,-5.61258e-05,0,0,0.789812,0.613349,8.33333
89620.6,43179.8,0,0,0,0.728822,0.684703,8.33333
89621.2,43182.2,-2.97537e-05,0,0,0.431286,0.902215,8.33333
89622.9,43184.3,0,0,0,0.372899,0.927872,8.33333
89624.8,43186.1,-4.96304e-05,0,0,0.21385,0.976867,8.33333
89627.4,43187.3,-2.97537e-05,0,0,0.0811544,0.996702,8.33333
89629.9,43187.4,0,0,0,-0.229753,0.973249,9.72222
89632.1,43186.3,0,0,0,-0.307803,0.95145,9.72222
89634.6,43184.5,0,0,0,-0.285239,0.958457,9.72222
89637.2,43182.8,0,0,0,-0.163097,0.98661,9.72222
89640,43181.9,0,0,0,-0.0102367,0.999948,9.72222
89642.9,43181.8,0,0,0,0.0930897,0.995658,9.72222
89645.8,43182.4,0,0,0,0.259982,0.965614,9.72222
89648.9,43184.2,0,0,0,0.279856,0.960042,9.72222
89651.1,43185.6,0,0,0,0.19967,0.979863,9.72222
89653.9,43186.8,0,0,0,0.0200032,0.9998,8.33333
89656.4,43186.9,0,0,0,-0.0824805,0.996593,8.33333
89658.8,43186.5,0,0,0,-0.316498,0.948593,8.33333
89660.4,43185.3,0,0,0,-0.485951,0.873986,8.33333
89661.6,43183.4,0,0,0,-0.593459,0.804864,8.33333
89661.9,43181.5,-0.000111672,0,0,-0.745439,0.666574,8.33333
89661.7,43179.7,-6.10351e-05,0,0,-0.845379,0.534168,8.33333
89660.9,43178,-8.99556e-05,0,0,-0.904563,0.426339,9.72222
89659.1,43176.4,-9.10222e-05,0,0,-0.967276,0.253727,9.72222
89656.8,43175.1,-0.000122069,0,0,-0.994785,0.101997,9.72222
89653.9,43174.5,-2.99607e-05,0,0,-0.989081,0.147373,9.72222
89651.6,43173.8,-6.09803e-05,0,0,-0.975309,0.220844,9.72222
89649.2,43172.9,-6.10285e-05,0,0,-0.929084,0.36987,8.33333
89647.2,43171,-5.58621e-05,0,0,-0.773499,0.633798,8.33333
89646.4,43169,-5.14544e-05,0,0,-0.65936,0.751827,8.33333
89646.7,43166.7,-3.05021e-05,0,0,-0.519864,0.854249,8.33333
89648,43164.2,-3.01116e-05,0,0,-0.321073,0.947054,9.72222
89649.8,43162.5,-6.09509e-05,0,0,-0.201066,0.979578,9.72222
89651.9,43161.6,-3.02512e-05,0,0,-0.152741,0.988266,9.72222
89654.4,43160.8,-3.00665e-05,0,0,-0.0726909,0.997355,9.72222
89657,43160.4,0,0,0,0.149943,0.988695,9.72222
