x,y,z,qx,qy,qz,qw,speed
89627.9,43130.8,0,0,0,0.883747,0.467965,8.33333
89626.6,43132.7,-2.99607e-05,0,0,0.876359,0.481658,8.33333
89625.3,43134.7,0,0,0,0.864209,0.503133,8.33333
89623.7,43137.4,0,0,0,0.883734,0.46799,8.33333
89622,43139.7,0,0,0,0.87641,0.481566,8.33333
89620.4,43142.2,0,0,0,0.88584,0.46399,8.33333
89618.7,43144.6,0,0,0,0.884065,0.467363,8.33333
89617,43147.1,0,0,0,0.881734,0.471747,8.33333
89615.3,43149.6,0,0,0,0.874733,0.484605,8.33333
89613.8,43152.1,0,0,0,0.965967,0.258664,8.33333
89612.4,43154.5,0,0,0,0.795985,0.605316,8.33333
89611.3,43157.7,0,0,0,0.609299,0.79294,8.33333
89612.1,43160.5,0,0,0,0.41223,0.91108,8.33333
89614.1,43162.8,0,0,0,0.365023,0.930998,8.33333
89617.2,43164.6,0,0,0,0.258757,0.965943,8.33333
89619.7,43165.7,0,0,0,0.00102044,0.999999,8.33333
89622.7,43165.7,0,0,0,-0.200658,0.979661,8.33333
89625.4,43164.6,0,0,0,-0.674265,0.73849,8.33333
89627.5,43162.3,0,0,0,-0.561681,0.827354,8.33333
89628.8,43159,0,0,0,-0.543228,0.839585,8.33333
89630,43156,0,0,0,-0.582042,0.813159,8.33333
89631.1,43152.4,0,0,0,-0.615195,0.788375,8.33333
89631.8,43149.5,0,0,0,-0.652556,0.75774,8.33333
89632.1,43147.5,0,0,0,-0.50667,0.86214,8.33333
89632.8,43144.5,0,0,0,-0.331471,0.943465,8.33333
89633.5,43142,0,0,0,-0.541917,0.840432,8.33333
89634.6,43139.6,0,0,0,-0.328409,0.944535,8.33333
89636.7,43137.9,0,0,0,-0.0485155,0.998822,8.33333
89639.4,43137.5,0,0,0,0.0322766,0.999479,8.33333
89641.8,43137.7,-2.68074e-05,0,0,0.238185,0.97122,8.33333
89644.2,43138.9,-2.54281e-05,0,0,0.328841,0.944385,8.33333
89646,43140.4,-5.80263e-05,0,0,0.455247,0.890365,8.33333
89647.6,43142.6,-6.1035e-05,0,0,0.639459,0.768825,8.33333
89647.7,43145.5,-3.05176e-05,0,0,0.778899,0.627149,8.33333
89646.6,43148.8,-3.05175e-05,0,0,0.905844,0.423612,8.33333
89645.1,43151.4,0,0,0,0.934101,0.357009,8.33333
89643.1,43153.9,0,0,0,0.953582,0.301133,8.33333
89641.3,43156.1,-5.95805e-05,0,0,0.903578,0.428423,8.33333
89639.3,43158,-6.0412e-05,0,0,0.952838,0.303479,8.33333
89637.6,43159.7,-3.04913e-05,0,0,0.92718,0.374616,8.33333
89635.8,43161.7,-3.04627e-05,0,0,0.920323,0.391159,8.33333
89633.6,43163.8,0,0,0,0.925292,0.379256,8.33333
89631.7,43165.8,0,0,0,0.914695,0.404146,8.33333
89629.7,43168.1,0,0,0,0.911727,0.410796,8.33333
89627.6,43170.4,0,0,0,0.932009,0.362436,8.33333
89625.2,43172.7,0,0,0,0.914099,0.405492,8.33333
89623.1,43175,0,0,0,0.885463,0.464709,8.33333
89621.5,43177.4,0,0,0,0.776931,0.629586,8.33333
89621,43179.6,0,0,0,0.491964,0.870615,8.33333
89622.2,43181.8,0,0,0,0.375709,0.926738,8.33333
89623.9,43183.7,0,0,0,0.305713,0.952124,8.33333
89625.9,43185.2,0,0,0,0.229425,0.973326,8.33333
89628.4,43186.4,0,0,0,0.0137666,0.999905,8.33333
89630.8,43186.5,0,0,0,-0.182346,0.983234,8.33333
89633.1,43185.7,0,0,0,-0.198009,0.9802,8.33333
89635.4,43184.7,0,0,0,-0.290163,0.956977,8.33333
89637.8,43183.7,0,0,0,-0.16938,0.985551,8.33333
89640.5,43182.8,0,0,0,-0.0325472,0.99947,8.33333
89642.9,43182.8,0,0,0,-0.0726194,0.99736,8.33333
89645.6,43183.6,0,0,0,-0.0333591,0.999443,8.33333
89647.7,43184.6,0,0,0,0.0285411,0.999593,8.33333
89650.4,43186.3,0,0,0,0.125424,0.992103,8.33333
89653.4,43187.5,0,0,0,0.0263347,0.999653,8.33333
89655.8,43187.6,0,0,0,-0.15131,0.988486,8.33333
89658,43186.9,0,0,0,-0.39588,0.918302,8.33333
89659.9,43185,0,0,0,-0.437182,0.899373,8.33333
89661.1,43183.1,0,0,0,-0.652632,0.757675,8.33333
89661.2,43180.9,0,0,0,-0.866343,0.499449,8.33333
89660.1,43179.1,0,0,0,-0.902738,0.430192,8.33333
89658.9,43177.6,0,0,0,-0.940912,0.338652,8.33333
89657.5,43176.4,0,0,0,-0.94534,0.326085,8.33333
89656,43175.2,0,0,0,-0.956423,0.291986,8.33333
89654,43173.9,0,0,0,-0.955316,0.295586,8.33333
89652,43172.6,0,0,0,-0.956238,0.292589,8.33333
89649.9,43171.3,-2.42343e-05,0,0,-0.96098,0.276619,8.33333
89648,43170.1,-3.05147e-05,0,0,-0.866458,0.49925,8.33333
89646.8,43168.1,0,0,0,-0.68407,0.729416,8.33333
89647,43166.4,0,0,0,-0.482163,0.876081,8.33333
89648.3,43165,0,0,0,-0.616714,0.787187,8.33333
89650.3,43163.9,0,0,0,-0.512681,0.858579,8.33333
89652.6,43163,0,0,0,-0.490582,0.871395,8.33333
89654.8,43161.9,0,0,0,-0.344403,0.938822,8.33333
89657.6,43161.4,0,0,0,-0.159332,0.987225,8.33333
89659.7,43161.8,0,0,0,0.0964836,0.995335,8.33333
89661.7,43163.3,0,0,0,0.353645,0.93538,8.33333
89663.5,43165.6,-2.54281e-05,0,0,0.386292,0.922377,8.33333
89665.3,43167.4,0,0,0,0.218464,0.975845,8.33333
89667.9,43168.8,-3.03234e-05,0,0,-0.0122818,0.999925,8.33333
89670.6,43168.7,0,0,0,-0.00567134,0.999984,8.33333
89672.6,43167.6,0,0,0,-0.512807,0.858504,8.33333
89674,43165,0,0,0,-0.487515,0.873115,8.33333
89675.1,43163.3,0,0,0,-0.0738638,0.997268,8.33333
89676.3,43161.4,0,0,0,-0.211609,0.977354,8.33333
89677.6,43158.7,0,0,0,-0.354182,0.935177,8.33333
89678.4,43155.9,0,0,0,-0.791592,0.61105,8.33333
89677.7,43153.2,-3.04776e-05,0,0,-0.914396,0.40482,8.33333
89675.8,43151.1,0,0,0,-0.945649,0.325189,8.33333
89673.8,43149.5,0,0,0,-0.957969,0.286872,8.33333
89671.8,43148.2,0,0,0,-0.989768,0.142685,8.33333
89669.2,43147.4,0,0,0,-0.995673,0.0929214,8.33333
89666.3,43146.9,0,0,0,-0.993144,0.116901,8.33333
89663.4,43146.1,-2.99607e-05,0,0,-0.972802,0.231639,8.33333
89660.7,43144.7,-2.99607e-05,0,0,-0.964942,0.262462,8.33333
89658.8,43142.7,0,0,0,-0.9203,0.391213,8.33333
89657.3,43140.1,0,0,0,-0.855266,0.518189,8.33333
89656.2,43137.8,0,0,0,-0.759526,0.650476,8.33333
89655.8,43135.3,-2.98301e-05,0,0,-0.71929,0.69471,8.33333
89655.7,43132.7,-2.95745e-05,0,0,-0.767592,0.640939,8.33333
89655.3,43130,0,0,0,-0.836446,0.548049,8.33333
89654.1,43127.3,0,0,0,-0.87579,0.482692,8.33333
89652.7,43125.5,0,0,0,-0.92845,0.371457,8.33333
89650.8,43123.8,0,0,0,-0.964074,0.265635,8.33333
89648.5,43122.5,0,0,0,-0.994996,0.0999158,8.33333
89645.9,43122.2,0,0,0,-0.998068,0.0621285,8.33333
89643.1,43121.8,0,0,0,0.999725,0.0234392,8.33333
89640.2,43121.9,0,0,0,-0.999814,0.0192771,8.33333
89637.1,43122.2,0,0,0,0.993365,0.115004,8.33333
89634.2,43123.3,0,0,0,0.952383,0.304905,8.33333
89631.8,43125.8,0,0,0,0.912156,0.409844,8.33333
89629.8,43128,0,0,0,0.884734,0.466096,8.33333
89627.9,43130.8,0,0,0,0.883747,0.467965,8.33333
