x,y,z,qx,qy,qz,qw,speed
89629.8,43130.6,-3.05093e-05,0,0,0.926325,0.376726,9.61111
89627.7,43133.2,0,0,0,0.901021,0.433776,9.61111
89625.8,43136,-3.0434e-05,0,0,0.945166,0.32659,9.61111
89624.2,43137.9,-3.05132e-05,0,0,0.897801,0.440401,9.61111
89622.6,43139.9,0,0,0,0.818798,0.574081,9.61111
89621,43142.2,-0.000115883,0,0,0.897057,0.441915,9.72222
89619.1,43144.7,0,0,0,0.862807,0.505533,9.72222
89617.6,43147.3,0,0,0,0.874,0.485926,9.61111
89616.1,43149.6,0,0,0,0.867153,0.498042,9.61111
89614.3,43152.6,0,0,0,0.893576,0.448911,9.61111
89612,43155.7,-6.04034e-05,0,0,0.672797,0.739827,8.33333
89612.4,43159.9,-5.9438e-05,0,0,0.521458,0.853277,8.33333
89613.7,43162.4,-5.92606e-05,0,0,0.291519,0.956565,8.33333
89616.1,43164,-8.96892e-05,0,0,0.126287,0.991994,8.33333
89618.8,43164.7,-6.09742e-05,0,0,0.0224666,0.999748,9.61111
89621.7,43164.7,-6.07946e-05,0,0,-0.129815,0.991538,9.61111
89624.3,43163.1,0,0,0,-0.156543,0.987671,9.61111
89626.1,43161.7,-3.04144e-05,0,0,-0.275679,0.96125,9.61111
89627.5,43160,-5.53308e-05,0,0,-0.341636,0.939832,9.61111
89629,43158,-5.71834e-05,0,0,-0.441095,0.897461,9.61111
89630.2,43155.9,-5.85854e-05,0,0,-0.590551,0.807,9.61111
89630.9,43153.2,-5.76958e-05,0,0,-0.701382,0.712786,9.61111
89630.9,43150.8,-3.05155e-05,0,0,-0.665749,0.746176,9.61111
89631.3,43146.8,0,0,0,-0.296767,0.95495,9.61111
89632.6,43144.1,-2.68074e-05,0,0,-0.503124,0.864214,9.61111
89634.1,43141.5,-2.75123e-05,0,0,-0.454243,0.890878,9.61111
89635.2,43139,-9.09925e-05,0,0,-0.193498,0.981101,8.33333
89638.1,43137.8,-8.52694e-05,0,0,-0.0787963,0.996891,8.33333
89640.4,43137.4,-3.04682e-05,0,0,0.151135,0.988513,8.33333
89642.8,43138.1,-3.04424e-05,0,0,0.294018,0.9558,8.33333
89644.7,43139.4,-3.05122e-05,0,0,0.503941,0.863738,9.61111
89646,43141.3,0,0,0,0.646044,0.7633,9.61111
89646.5,43143.9,0,0,0,0.657741,0.753244,9.61111
89646.8,43146.3,0,0,0,0.747118,0.664691,9.61111
89646,43149.2,0,0,0,0.810279,0.586045,9.61111
89644.6,43151.8,-3.04884e-05,0,0,0.884093,0.467311,9.61111
89643.4,43153.5,0,0,0,0.944991,0.327097,9.61111
89641.8,43155.6,0,0,0,0.965077,0.261966,9.61111
89639.7,43157.5,0,0,0,0.941255,0.337696,9.61111
89637.9,43159.5,0,0,0,0.929853,0.367932,9.61111
89636,43161.9,0,0,0,0.936972,0.349404,9.61111
89633.9,43164.3,0,0,0,0.940644,0.339396,9.61111
89631.9,43166.3,0,0,0,0.926067,0.37736,9.61111
89630.3,43168.6,0,0,0,0.926825,0.375493,9.61111
89628.1,43170.7,0,0,0,0.91092,0.412583,9.61111
89626.1,43172.8,0,0,0,0.926375,0.376601,9.61111
89623.9,43175,0,0,0,0.914781,0.40395,9.61111
89621.9,43177.3,0,0,0,0.848589,0.529052,9.61111
89620.6,43179.8,0,0,0,0.718884,0.69513,8.33333
89620.5,43182.8,0,0,0,0.570954,0.820982,8.33333
89621.5,43185.5,0,0,0,0.328599,0.94447,8.33333
89623.9,43187.4,0,0,0,0.129383,0.991595,9.61111
89627.2,43187.5,0,0,0,-0.158335,0.987385,9.61111
89629.6,43186.7,0,0,0,-0.121997,0.99253,9.61111
89632.1,43185.5,0,0,0,-0.194721,0.980859,9.61111
89634.7,43184.4,0,0,0,-0.177943,0.984041,9.61111
89637.5,43183.3,0,0,0,-0.129344,0.9916,9.61111
89640.5,43182.6,0,0,0,-0.06947,0.997584,9.61111
89643.4,43182.5,0,0,0,0.0556465,0.998451,9.61111
89646.3,43183.1,0,0,0,0.0661478,0.99781,9.61111
89649.1,43184.5,0,0,0,0.171761,0.985139,9.61111
89651.7,43186.2,0,0,0,0.0981475,0.995172,9.61111
89653.8,43188.1,-2.48626e-05,0,0,0.0262982,0.999654,8.33333
89657.6,43188.3,0,0,0,-0.183123,0.98309,8.33333
89660.5,43187.2,-6.10352e-05,0,0,-0.452711,0.891657,8.33333
89662.1,43184.9,-3.05176e-05,0,0,-0.635394,0.772188,8.33333
89662.6,43182.7,-6.10317e-05,0,0,-0.859079,0.511844,9.61111
89661.5,43180.7,-3.05036e-05,0,0,-0.878109,0.478461,9.61111
89660.7,43179.5,-2.97537e-05,0,0,-0.936614,0.350364,9.61111
89659.6,43178.5,-2.63951e-05,0,0,-0.966143,0.258006,9.61111
89657.9,43177.5,-3.00164e-05,0,0,-0.969865,0.243642,9.61111
89656.1,43176.5,0,0,0,-0.976922,0.213595,9.61111
89653.7,43175.4,0,0,0,-0.991428,0.130651,9.61111
89651.4,43174.8,0,0,0,-0.98346,0.181125,9.61111
89648.4,43173.7,0,0,0,-0.947133,0.320841,9.61111
89646.3,43171.7,0,0,0,-0.858391,0.512996,9.61111
89645.2,43169.7,0,0,0,-0.642321,0.766436,9.61111
89645.7,43166.6,0,0,0,-0.476306,0.87928,9.61111
89647.2,43164.3,0,0,0,-0.402601,0.915376,9.61111
89649,43162.3,0,0,0,-0.212259,0.977213,9.61111
89651.8,43161.1,0,0,0,-0.195738,0.980656,9.61111
89654.5,43159.9,0,0,0,-0.0527849,0.998606,9.61111
89657.5,43159.6,0,0,0,0.141186,0.989983,9.61111
89660.6,43161.5,-2.42343e-05,0,0,0.420905,0.907105,9.61111
89662.5,43164,-3.00665e-05,0,0,0.449283,0.893389,9.61111
89664.2,43166.4,-3.00665e-05,0,0,0.384303,0.923207,9.61111
89665.9,43169.2,-6.05238e-05,0,0,0.229637,0.973276,9.61111
89669.1,43170.8,-6.10026e-05,0,0,-0.241228,0.970468,9.61111
89672,43169.9,-5.94036e-05,0,0,-0.351522,0.936179,9.61111
89674.1,43168.5,-3.00665e-05,0,0,-0.35938,0.933191,9.61111
89675.9,43166.8,0,0,0,-0.382517,0.923948,9.61111
89677.4,43165,0,0,0,-0.478133,0.878288,9.61111
89678.9,43162.7,0,0,0,-0.601335,0.798997,9.61111
89679.7,43159.8,0,0,0,-0.706174,0.708039,9.61111
89679.7,43156.9,0,0,0,-0.808032,0.589138,9.61111
89678.8,43154.1,0,0,0,-0.885312,0.464997,9.61111
89677.1,43151.6,0,0,0,-0.940498,0.339798,9.61111
89674.3,43149.9,0,0,0,-0.954254,0.298997,9.61111
89671.6,43149.1,0,0,0,-0.954126,0.299406,9.61111
89668.8,43148.5,0,0,0,-0.964666,0.263476,9.61111
89666.3,43148.1,0,0,0,-0.988174,0.153339,9.61111
89663.4,43147.2,-2.63951e-05,0,0,-0.969886,0.243557,9.61111
89660.3,43145.2,0,0,0,-0.887189,0.461407,9.61111
89658.7,43142.9,0,0,0,-0.860921,0.508739,9.61111
89657.4,43139.9,0,0,0,-0.717523,0.696535,9.61111
89657.1,43137.1,0,0,0,-0.706152,0.70806,9.61111
89657.1,43134.4,0,0,0,-0.762022,0.647551,9.61111
89656.6,43131.7,0,0,0,-0.796114,0.605147,9.61111
89655.9,43129.1,0,0,0,-0.750604,0.660752,9.61111
89654.5,43127,-5.9438e-05,0,0,-0.895237,0.445591,9.61111
89653.2,43125.3,-9.15527e-05,0,0,-0.872239,0.48908,9.61111
89651.5,43123.7,-9.15527e-05,0,0,-0.981985,0.188959,9.61111
89649.5,43122.9,0,0,0,-0.999563,0.0295599,9.61111
89647.2,43122.8,0,0,0,0.997858,0.0654132,9.61111
89644.8,43123.1,0,0,0,0.993195,0.116467,9.61111
89642.4,43123.7,0,0,0,0.990602,0.136777,9.61111
89639.6,43124.5,0,0,0,0.982079,0.188468,9.61111
89636.7,43125.6,0,0,0,0.973216,0.229895,9.61111
89634.6,43126.7,0,0,0,0.957837,0.287312,9.61111
89632,43128.5,0,0,0,0.958466,0.285208,9.61111
89629.8,43130.4,0,0,0,0.55551,0.83151,9.61111
