x,y,z,qx,qy,qz,qw,speed
89629.6,43131.4,-3.05093e-05,0,0,0.928133,0.37225,9.61111
89627.7,43133.2,0,0,0,0.901021,0.433776,9.61111
89625.8,43136,-3.0434e-05,0,0,0.945166,0.32659,9.61111
89624.2,43137.9,-3.05132e-05,0,0,0.897801,0.440401,9.61111
89622.6,43139.9,0,0,0,0.818798,0.574081,9.61111
89621,43142.2,-0.000115883,0,0,0.897057,0.441915,9.72222
89619.1,43144.7,0,0,0,0.862807,0.505533,9.72222
89617.6,43147.3,0,0,0,0.874,0.485926,9.61111
89616.1,43149.6,0,0,0,0.867153,0.498042,9.61111
89614.3,43152.6,0,0,0,0.893576,0.448911,9.61111
89612,43155.7,-6.04034e-05,0,0,0.672797,0.739827,8.33333
89611.7,43160.6,-5.9438e-05,0,0,0.362258,0.932078,8.33333
89613.5,43163.2,-5.92606e-05,0,0,0.139542,0.990216,8.33333
89616.1,43164.6,-8.96892e-05,0,0,0.0114095,0.999935,8.33333
89618.9,43165.2,-6.09742e-05,0,0,-0.0798071,0.99681,9.61111
89621.7,43164.7,-6.07946e-05,0,0,-0.129815,0.991538,9.61111
89624.3,43163.1,0,0,0,-0.156543,0.987671,9.61111
89626.1,43161.7,-3.04144e-05,0,0,-0.275679,0.96125,9.61111
89627.5,43160,-5.53308e-05,0,0,-0.341636,0.939832,9.61111
89628.7,43157.6,-5.71834e-05,0,0,-0.617343,0.786694,9.61111
89629.3,43155.1,-5.85854e-05,0,0,-0.606882,0.794792,9.61111
89630,43152.5,-5.76958e-05,0,0,-0.65337,0.757039,9.61111
89630.4,43149.9,-3.05155e-05,0,0,-0.601934,0.798546,9.61111
89631.3,43146.8,0,0,0,-0.296767,0.95495,9.61111
89632.6,43144.1,-2.68074e-05,0,0,-0.503124,0.864214,9.61111
89634.2,43141.3,-2.75123e-05,0,0,-0.356133,0.934435,9.61111
89635.7,43139.3,-9.09925e-05,0,0,-0.201599,0.979468,8.33333
89638.3,43137.9,-0.00011419,0,0,-0.110492,0.993877,8.33333
89641.4,43137.2,-9.08123e-05,0,0,0.133957,0.990987,8.33333
89644.2,43137.9,-0.000204255,0,0,0.371973,0.928244,8.33333
89646.2,43139.9,-9.14321e-05,0,0,0.465042,0.885289,9.61111
89647.3,43142,-0.000240149,0,0,0.67508,0.737745,9.61111
89647.5,43144.5,-0.000243434,0,0,0.802797,0.596253,9.61111
89646.7,43147.1,-0.000120875,0,0,0.810437,0.585825,9.61111
89646.1,43149,-5.99852e-05,0,0,0.856263,0.516541,9.61111
89644.6,43151.8,-3.04884e-05,0,0,0.884093,0.467311,9.61111
89643.4,43153.5,0,0,0,0.944991,0.327097,9.61111
89641.8,43155.6,0,0,0,0.965077,0.261966,9.61111
89639.7,43157.5,0,0,0,0.941255,0.337696,9.61111
89637.9,43159.5,0,0,0,0.929853,0.367932,9.61111
89636,43161.9,0,0,0,0.936972,0.349404,9.61111
89633.9,43164.3,0,0,0,0.940644,0.339396,9.61111
89631.9,43166.3,0,0,0,0.926067,0.37736,9.61111
89630.3,43168.6,0,0,0,0.926825,0.375493,9.61111
89628.1,43170.7,0,0,0,0.91092,0.412583,9.61111
